stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3682,3682,Bissonnet St @ Newcastle Dr,BISSONNET ST & NEWCASTLE DR,29.716388,-95.450936,,,,,,0
3683,3683,Bissonnet St @ Larch Ln,BISSONNET ST & LARCH LN,29.715151,-95.453377,,,,,,0
3684,3684,Bissonnet St @ Avenue B,BISSONNET ST & AVENUE B,29.713872,-95.455869,,,,,,0
3686,3686,Hardy St @ Hays St,HARDY ST & HAYS ST,29.789924,-95.35217,,,,,,0
3687,3687,Hardy St @ Halpern St,HARDY ST & HALPERN ST,29.788183,-95.352145,,,,,,0
3688,3688,Hardy St @ Luzon St,HARDY ST & LUZON ST,29.786468,-95.352096,,,,,,0
3689,3689,Hardy St @ Line St,HARDY ST & LINE ST,29.78488,-95.35186,,,,,,0
3690,3690,Hardy St @ Quitman St,HARDY ST & QUITMAN ST,29.783025,-95.351475,,,,,,0
3691,3691,Hardy St @ Noble St,HARDY ST & NOBLE ST,29.780578,-95.351465,,,,,,0
3692,3692,Hardy St @ Lorraine St,HARDY ST & LORRAINE ST,29.778475,-95.351442,,,,,,0
3694,3694,Elysian St @ Noble St,ELYSIAN ST & NOBLE ST,29.780373,-95.350494,,,,,,0
3696,3696,Elysian St @ Quitman St,ELYSIAN ST & QUITMAN ST,29.783696,-95.35054,,,,,,0
3697,3697,Elysian St @ Line St,ELYSIAN ST & LINE ST,29.784619,-95.350627,,,,,,0
3698,3698,Elysian St @ Luzon St,ELYSIAN ST & LUZON ST,29.786158,-95.350952,,,,,,0
3699,3699,Elysian St @ Halpern St,ELYSIAN ST & HALPERN ST,29.78803,-95.351,,,,,,0
3700,3700,Elysian St @ Hays St,ELYSIAN ST & HAYS ST,29.790208,-95.351051,,,,,,0
3701,3701,Elysian St @ Bigelow,ELYSIAN ST & BIGELOW,29.791404,-95.351082,,,,,,0
3702,3702,Elysian St @ Collingsworth St,ELYSIAN ST & COLLINGSWORTH ST,29.793129,-95.35112,,,,,,0
3703,3703,Elysian St @ Alber St,ELYSIAN ST & ALBER ST,29.794849,-95.351157,,,,,,0
3704,3704,Elysian St @ Erin,ELYSIAN ST & ERIN,29.796532,-95.351219,,,,,,0
3705,3705,Elysian St @ Egypt,ELYSIAN ST & EGYPT,29.798228,-95.351259,,,,,,0
3706,3706,Elysian St @ Weiss St,ELYSIAN ST & WEISS ST,29.799952,-95.351303,,,,,,0
